             Binding p-values														Binding ratios	
EntrezGene Symbol	p65 (-LPS)	c-Rel (-LPS)	RelB (-LPS)	p50 (-LPS)	p52 (-LPS)		p65 (+LPS)	c+Rel (+LPS)	RelB (+LPS)	p50 (+LPS)	p52 (+LPS)			RNA pol II (-LPS)	RNA pol II (+LPS)
CDON	0.24	0.17	0.49	0.55	0.32		0.41	0.17	0.27	0.58	0.13			0.92	1
CDR1	0.61	0.76	0.68	0.77	0.28		0.66	0.45	0.89	0.87	0.95			0.56	0.5
CDS1	0.09	0.26	0.44	0.22	0.52		0.47	0.65	0.51	0.52	 				
CDSN	0.53	0.42	 	0.85	0.98		0.63	0.73	0.93	0.68	0.84			0.48	0.47
CDT1	0.25	0.56	 	0.69	0.12		0.85	0.65	0.83	0.91	 				
CDV-1	0.06	0.23	0.31	0.38	0.3		0.09	0.47	0.75	0.6	0.94			0.99	0.84
CDW52	0.89	0.36	0.28	0.83	0.94		0.6	0.09	0.6	0.2	0.33			3.99	2.22
CDW92	0.21	0.36	0.99	0.6			0.61	0.55		0.57	0.78			1.98	1.89
CDX1	0.17	0.24	 	0.75	0.4		0.57	0.79		0.75	0.94				
CDX2	0.83	0.64	0.25	0.55	0.52		0.68	0.85	0.85	0.7	0.47			0.92	0.99
CDX4	0.57	0.92	0.54	0.71	0.75		0.68	0.43	0.83	0.78	0.62			1.15	0.96
CDY1	0.33	0.49	0.4	0.59	0.72		0.7	0.56	0.87	0.72	0.9			0.71	0.76
CDY2	0.72	0.71	0.57	0.85	1		0.91	0.68	0.76	0.84	0.56			0.67	0.97
CDYL	0.2	0.24	0.13	0.41	0.61		0.4	0.19	0.4	0.48	0.31			0.96	1.01
CEACAM1	0.29	0.21	0.13	0.56	0.59		0.32	0.36	0.45	0.45	0.28			0.84	0.75
CEACAM3	0.68	0.29	0.16	0.63	0.28		0.29	0.44	0.64	0.61	0.4			1.44	1.07
CEACAM5	0.58	0.38	0.59	0.75	0.38		0.09	0.71	0.31	0.59	0.2			1	0.83
CEACAM6	0.16	0.42	0.54	0.68	0.55		0.25	0.58	0.66	0.62	0.28			1.37	1
CEACAM7	0.11	0.41	0.16	0.37	0.4		0.35	0.47	0.59	0.56	0.26			1.46	1.09
CEACAM8	0.11	0.11	0.45	0.52	0.09		0.21	0.3	0.23	0.47	0.18			0.92	0.88
CEBPA	0.09	0.04	 	0.49	0.15		0.4	0.97	0.78	0.57	 			1.16	1.29
CEBPB	0.37	0.84	 	0.83	0.65		0.67	0.57	0.92	0.57	 				1.09
CEBPD	0.47	0.79	 	0.73	0.18		0.66	0.66	0.94	0.59	0.73				
CEBPE	0.25	0.36	0.36	0.26	0.67		0.15	0.12	0.22	0.22	0.34			2.62	2.09
CEBPG	0.11	0.16	0.53	0.08	0.3		0.31	0.02	0.27	0.16	0.15			2.78	2.63
CEBPZ	0.72	0.25	0.44	0.35	0.33		0.1	0.1	0.03	0.09	0.41			4.48	4.29
CECR1	0.11	0.02	0.03	0.15	0.31		0.38	0.25	0.31	0.58	0.06			1.09	1.14
CECR2	0.12	0.88	0.78	0.97	0.73		0.28	0.32	0.41	0.69	0.62			0.79	0.99
CECR5	0.4	0.06	 	0.97	0.35		0.95	0.5	0.75	0.84	0.99			0.9	
CECR6	0.23	0.13	0.64	0.52	0.78		0.5	0.16	0.75	0.58	0.72			1.42	1.07
CEECAM1	0.21	 	0.05	0.16	 		0.65	0.19	0.61	0.45	0.19			1.01	1
CEL	0.1	0.04	0.3	0.35	0.2		0.43	0.23	0.16	0.59	0.04			1.02	1.02
CELSR2	0.24	0.36	0.2	0.71	0.26		0.35	0.67	0.45	0.48	0.33			0.87	1.01
CELSR3	0.79	0.75	0.38	0.63	0.34		0.83	0.94	0.71	0.59	0.51			2.12	1.27
CENPA	0.98	0.66	0.42	0.59	0.35		0.73	0.89	0.88	0.49	0.81			2.7	2.21
CENPC1	0.51	0.18	 	0.68	0.19					0.67	 				2.18
CENPE	0.2	0.27	0.23	0.27	0.16		0.2	0.26	0.26	0.26	0.34			1.19	1.14
CENPF	0.9	0.66	0.92	0.29	0.73		0.78	0.53	0.28	0.15	0.8			1.95	1.49
CENPH	0.89	0.81	0.3	0.72	0.5		0.62	0.6	0.65	0.44	0.43			2.36	1.88
CENTA1	0.18	0.07	0.44	0.44	0.27		0.36	0.14	0.14	0.56	0.12			0.93	1.05
CENTA2	0.24	0.29	0.6	0.52	0.35		0.65	0.53	0.56	0.83	0.46			0.74	0.8
CENTB1	0.13	0.09	0.41	0.46	0.16		0.12	0.09	0.14	0.54	0.07			1.72	1.31
CENTB2	0.93	0.66	0.82	0.79	0.7		0.78	0.82	0.77	0.42	0.68			3.32	3.05
CENTD1	0.72	0.84	 	0.86			0.92	0.46		0.77	 			2.07	
CENTD2	0.01	0.03	0.37	0.3	0.14		0.43	0.27	0.15	0.59	0.11			1.05	1.04
CENTG2	0.7	0.39	0.9	0.44	0.5		0.81	0.46	0.74	0.86	0.92				
CEP1	0.22	0.21	0.09	0.57	0.42		0.52	0.42	0.33	0.48	0.33			0.97	0.98
CEPT1	0.4	0.77	0.52	0.48	0.51		0.53	0.37	0.31	0.42	0.22			1.62	1.72
CES1	0.33	0.17	0.84	0.75	0.96		0.5	0.63	0.61	0.74	0.47			0.9	0.96
CES2	0.29	0.78	0.71	0.48	0.32		0.76	0.57	0.15	0.26	0.24			3.18	2.89
CETN2	0.89	0.81	 	0.43	0.71		0.75	0.52		0.28	 			4.6	3.38
CETP	0.87	0.38	0.26	0.86	0.75		0.57	0.79	0.79	0.74	0.75			0.95	0.96
CFH	0.8	0.85	0.93	0.93	0.55		0.77	0.95	0.83	0.87	0.95			0.6	0.57
CFHL5	0.61	0.69	0.15	0.44	0.13		0.52	0.13	0.25	0.54	0.1			0.99	0.98
CFL1	0.86	0.97	0.84	0.4	0.52		0.69	0.67	0.3	0.2	0.51			4.62	4.51
CFL2	0.89	0.77	0.85	0.34	0.92		0.67	0.09	0.01	0.21	0.38			2.07	1.75
CFTR	0.4	0.07	0.25	0.39	0.93		0.61	0.67	0.87	0.87	0.7			1	0.97
CG005	0.51	0.2	0.4	0.18	0.61		0.5	0.07	0.71	0.17	0.47			2.29	2.47
CG018	0.21	0.28	0.1	0.18	0.15		0.37	0.03	0.46	0.25	0.17			0.92	0.97
CGA	0.28	0.6	0.94	0.47	0.18		0.9	0.78	0.6	0.86	0.66			0.69	0.64
CGB	0.21	0.13	0.05	0.4	0.16		0.06	0.12	0.37	0.58	0.08			0.95	0.86
CGB1	0.29	0.24	0.08	0.61	0.37		0.05	0.11	0.45	0.59	0.13			0.93	0.91
CGB2	0.2	0.71	0.08	0.53	0.52		0.06	0.39	0.72	0.61	0.57			0.98	1.17
CGB5	0.05	0.2	0.25	0.64	1		0.28	0.61	0.18	0.47	 			1.79	
CGB7	0.19	0.2	0.23	0.49	0.12		0.01	0.16	0.32	0.5	0.07			0.91	0.86
CGB8	0.01	0.22	0.05	0.22	0.93		0.18	0.61	0.72	0.61	0.16			0.83	0.76
CGGBP1	0.16	0.09	0.18	0.05	0.17		0.06	0.05	0.4	0.26	0.16			1.54	1.12
CGI-01	0.97	0.7	0.39	0.31	0.25		0.53	0.8	0.71	0.33	0.78			4.89	4.44
CGI-51	0.75	0.58	0.31	0.45	0.41		0.49	0.35	0.55	0.14	0.58			3.65	3.27
CGI-72	0.95	0.91	0.94	0.93	1		0.94	0.64	0.95	0.93	0.89			0.65	0.83
CGI-96	0.55	0.49	0.33	0.47	0.31		0.16	0.22	0.24	0.58	0.17			1.2	1.13
CGN	0.36	0.38	0.57	0.7	0.51		0.58	0.44	0.3	0.3	0.5			1.6	1.45
CGREF1	0.09	0.14	0.83	0.22	0.35		0.02	0.06	0.31	0.32	0.12			0.91	1
CGRP-RCP	0.08	 	0.07	0.52	 		0.48	0.06	0.19	0.46	0.12			1.3	1.33
CGRRF1	0.51	0.41	0.66	0.93	0.24		0.07	0.83	0.39	0.63	0.68			1.41	1.32
CH25H	0.6	0.87	0.78	0.47	0.35		0.97	0.48	0.88	0.8	0.72			0.57	0.56
CHAD	0.1	0.2	0.64	0.17	1		0.13	0.07	0.61	0.51	0.83			1.42	1.61
CHAF1A	0.14	0.14	0.43	0.49	0.94		0.19	0.5	0.16	0.34	0.37			1.07	0.91
CHAT	0.18	0.41	0.13	0.47	0.58		0.55	0.26	0.63	0.64	0.23			0.82	0.77
CHCHD2	0.98	0.68	0.56	0.46	0.74		0.87	0.75	0.2	0.31	0.65			3.88	3.72
CHCHD3	0.96	0.87	0.74	0.54	0.61		0.71	0.66	0.43	0.2	0.28			2.31	2.31
CHCHD5	0.64	0.13	0.29	0.36	0.74		0.13	0.43	0.19	0.11	0.58			4.06	3.4
CHCHD6	0.17	0.22	 	0.07	0.33		0.08	0.12	0.8	0.42	0.83			0.81	0.33
CHD1	0.8	0.63	0.86	0.84	0.91		0.77	0.46	0.61	0.87	0.82			0.8	0.99
CHD2	0.85	0.99	0.77	0.38	0.95		0.8	0.6	0.63	0.25	0.85			3.22	3.95
CHD3	0.31	0.42	0.37	0.31	0.95		0.31	0.23	0.31	0.3	0.41			2.57	2.91
CHD4	0.54	0.2	0.87	0.62	0.16		0.75	0.46	0.64	0.58	0.37			1.04	1
CHD9	0.53	0.82	0.49	0.55	0.37		0.56	0.42	0.62	0.76	0.37			0.9	0.92
CHEK1	0.66	0.71	0.43	0.34	0.55		0.84	0.22	0.33	0.03	0.69			3.43	3.45
CHERP	0.63	0.57	0.34	0.18	0.81		0.84	0.23	0.61	0.08	0.54			3.23	4.13
CHES1	0.72	0.6	 	0.62	1		0.71	0.78		0.86	0.98				
CHFR	0.14	0.4	0.32	0.47	0.3		0.42	0.19	0.5	0.65	0.18			0.82	0.79
CHGA	0.21	0.78	0.6	0.7	0.98		0.48	0.57	0.77	0.63	0.57			0.85	0.87
CHGB	0.33	0.58	0.51	0.46	0.28		0.12	0.33	0.58	0.31	0.32			1.06	0.9
CHI3L2	0.21	0.25	0.36	0	0		0.03	0.05	0	0	0.04			0.85	0.92
CHIC2	0.78		 	0.58	0.99		0.87			0.91	 				
CHKB	0.76	0.17	 	0.87			0.87	0.88		0.8	 				
CHL1	0.21	0.29	0.25	0.32	0.28		0.66	0.31	0.6	0.54	0.57			1.01	0.97
CHM	0.75	0.69	0.8	0.76	0.53		0.55	0.2	0.48	0.55	0.7			2.76	2.93
CHML	0.87	0.97	0.95	0.87	0.59		0.77	0.83	0.82	0.87	0.93			0.72	0.87
CHN2	0.46	0.87	0.92	0.55	0.39		0.57	0.5	0.41	0.73	0.62			1	0.99
CHODL	0.56	 	0.76	0.69	 		0.05	0.47	0.67	0.71	0.6			0.78	0.72
CHORDC1	0.82	0.63	0.15	0.28	0.63		0.56	0.32	0.57	0.44	0.65			4.08	3.54
CHP	0.58	0.61	0.52	0.36	0.99		0.43	0.8	0.4	0.15	0.54			2.91	2.95
CHRAC1	0.39	0.33	0.45	0.57	0.42		0.62	0.2	0.33	0.65	0.28			0.79	0.85
CHRM3	0.89	0.89	0.67	0.89	0.29		0.75	0.74	0.77	0.83	0.45			0.56	0.62
CHRM4	0.41	0.33	0.2	0.62	1		0.07	0.15	0.57	0.48	0.4			1	0.92
CHRNA1	0.1	0.04	0.34	0.27	0.23		0.1	0.3	0.17	0.34	0.18			0.97	0.96
CHRNA10	0.63	0.86	1	0.73	0.58		0.98	0.79		0.86	0.96				
CHRNA2	0.22	0.29	0.42	0.58	0.22		0.01	0.35	0.24	0.35	0.08			0.92	0.83
CHRNA3	0.18	0.07	0.08	0.31	0.33		0.12	0.04	0.31	0.63	0.11			0.93	0.95
CHRNA4	0.04	0.32	0.9	0.11	0.2		0.14	0.58		0.47	 				
CHRNA5	0.43	0.02	0.98	0.34	0.82		0.21	0.81	0.91	0.5	0.7				0.97
CHRNA6	0.58	0.13	0.74	0.6	0.52		0.63	0.65	0.31	0.38	0.45			0.59	0.69
CHRNA7	0.61	0.78	0.99	0.54	0.33		0.33	0.5	0.77	0.67	0.84			0.99	0.61
CHRNB1	0.04	0.83	0.97	0.4	0.2		0.49	0.53	0.52	0.53	0.7			0.95	0.87
CHRNB2	0.61	0.66	0.21	0.01	0.83		0.16	0.35	0.66	0.03	0.08			1.51	2
CHRNB3	0.1	0.02	0.21	0.22	0.24		0.4	0.08	0.09	0.58	0.03			0.99	1.01
CHRNB4	0.49	0.65	0.58	0.87	0.57		0.58	0.9	0.68	0.77	0.61			0.99	0.92
CHRND	0.08	0.07	0.82	0.73	0.67		0.25	0.13	0.74	0.02	0.26			0.7	0.62
CHRNG	0.09	0.07	0.28	0.15	0.11		0.16	0.26	0.2	0.48	0.05			1.12	1.08
CHS1	0.35	0.35	0.36	0.48	0.35		0.48	0.56	0.43	0.48	0.25			1.04	1.06
CHST1	0.43	0.3	0.93	0.4	0.96		0.14	0.28	0.29	0.14	0.8			1.36	0.98
CHST10	0.61	0.52	0.09	0.35	0.63		0.69	0.39	0.85	0.82	0.52			0.76	0.81
CHST11	0.05	0.07	0.84	0.43	0.33		0.26	0.09	0.71	0.29	0.77			0.9	0.85
CHST12	0.69	0.6	0.18	0.29	0.28		0.83	0.53	0.71	0.9	0.6			0.91	0.96
CHST2	0.48	0.31	0.24	0.35	0.27		0.79	0.28	0.25	0.34	0.22			2.38	3.17
CHST3	0.5	0.72	1	0.13	0.29		0.62	0.6	0.77	0.83	 				
CHST4	0.44	0.59	0.29	0.22	1		0.7	0.5	0.63	0.71	0.29			1.07	1
CHST7	0.8	0.62	0.25	0.37	0.57		0.56	0.95	0.66	0.33	0.78			3.05	3.4
CHST9	0.64	 	 	0.93	 		0.87			0.77	 				
CHSY1	0.72	0.51	0.83	0.59	0.3		0.42	0.07	0.66	0.66	0.83			0.7	0.79
CIAO1	0.29	0.27	0.39	0.07	0.51		0.24	0.2	0.23	0.05	0.56			4.5	4.44
CIAS1	0.28	0.57	0.14	0.85	0.8		0.52	0.32	0.38	0.53	0.17			1.05	1.62
CIB2	0.59	0.75	0.96	0.9	0.64		0.8	0.7	0.85	0.78	0.99			0.38	0.48
CIB3	0.27	0.13	0.35	0.52	0.26		0.21	0.22	0.43	0.56	0.2			0.92	1.01
CIC	0.22	0.79	0.98	0.59	0.74		0.81	0.52		0.72	0.6				
CIDEB	0.78	0.23	 	0.56	0.83		0.88	0.87		0.56	0.94			0.78	0.87
CIDEC	0.15	 	0.25	0.5	 		0.42	0.15	0.19	0.78	0.61			0.79	0.68
cig5	0.49	0.83	0.4	0.83	0.12		0.48	0.58	0.73	0.81	0.58			0.69	0.6
CILP	0.32	0.21	0.15	0.59	0.17		0.17	0.51	0.63	0.67	0.67			0.98	0.98
CIR	0.81	0.92	0.3	0.13	1		0.47	0.88	0.67	0.18	0.61			3.2	2.14
CIRH1A	0.22	0.55	0.66	0.81	0.35		0.63	0.61	0.9	0.83	0.53				0.51
CISH	0.68	0.78	0.29	0.16	0.32		0.56	0.8	0.17	0.07	0.38			2.93	2.56
CITED1	0.43	0.32	0.27	0.31	0.34		0.4	0.36	0.32	0.43	0.21			0.88	0.97
CITED2	0.46		 	0.73	1		0.49	0.91		0.59	 				1.22
CITED4	0.09	0.22	0.35	0.19	0.18		0.45	0.24	0.47	0.59	0.17			0.72	0.88
CIZ1	0.46	0.18	0.22	0.17	0.19		0.13	0.01	0.16	0.31	0.16			1.95	1.75
CKAP1	0.93	0.85	0.15	0.11	0.52		0.61	0.54	0.2	0.04	0.35			3.96	3.55
CKAP4	0.01	0.1	0.44	0.34	0.53		0.17	0.59	0.57	0.78	0.42			0.73	0.66
CKB	0.58	0.4	0.55	0.42	0.7		0.81	0.37	0.72	0.57	0.42			1.61	1.7
CKLF	0.34	0.76	0.41	0.47	0.8		0.19	0.8	0.56	0.37	0.57			4.83	3.57
CKLFSF1	0.43	 	0.86	0.5	 		0.25	0.73	0.27	0.76	0.32			0.74	0.73
CKLFSF5	0.46	 	0.15	0.4	 		0.61	0.36	0.5	0.57	0.53			0.95	0.86
CKLFSF6	0.09	 	0.85	0.14	 		0.22	0.81	0.69	0.63	 				
CKM	0.61	0.9	0.77	0.43	0.2		0.83	0.87	0.68	0.86	0.72			0.62	0.63
CKMT1	0.06	0.19	0.45	0.65	0.4		0.24	0.5	0.42	0.54	0.19			0.88	0.93
CKN1	0.38	0.57	0.18	0.15	0.94		0.9	0.26	0.41	0.06	0.33			2.6	2.36
CKS2	0.9	0.87	0.25	0.46	0.68		0.93	0.9	0.88	0.47	0.58			5.85	7.09
CLC	0.24	0.43	0.58	0.58	0.44		0.6	0.37	0.41	0.71	0.61			0.92	1
CLCA2	0.7	0.85	0.73	0.76	0.89		0.81	0.82	0.86	0.67	0.86			0.67	0.6
CLCA3	0.08	0.01	0.24	0.03	0.2		0.26	0.27	0.14	0.07	0.04			0.72	0.76
CLCA4	0.82	0.99	0.93	0.92	0.38		0.85	0.4	0.71	0.9	0.72			0.62	0.63
CLCN1	0.3	0.64	0.34	0.11	0.15		0.04	0.02	0	0	0.04			0.87	0.94
CLCN2	0.03	0.1	0.99	0.05	0.98		0.59	0.13	0.84	0.26	0.25			0.68	1.41
CLCN3	0.62	0.82	0.49	0.66	0.73		0.62	0.36	0.21	0.21	0.51			4.38	3.51
CLCN4	0.39	0.8	0.72	0.71	0.53		0.53	0.67	0.56	0.73	0.6			0.77	0.79
CLCN5	0.61	0.61	0.73	0.88	0.26		0.85	0.49	0.51	0.84	0.69			0.68	0.65
CLCN6	0.72	0.46	0.68	0.69	0.55		0.13	0.35	0.17	0.12	0.14			3.32	3.02
CLDN1	0.67	0.37	0.72	0.44	0.7		0.79	0.67	0.25	0.43	0.31			0.91	0.97
CLDN10	0.46	0.15	0.59	0.04	0.09		0.31	0.18	0.6	0.22	0.58			1.28	1.01
CLDN11	0.22	0.35	0.19	0.67	0.33		0.03	0.57	0.75	0.73	0.3			0.94	0.96
CLDN15	0.52	0.31	0.07	0.11	0.12		0.12	0.13	0.44	0.45	0.26			1.75	1.72
CLDN16	0.58	0.51	0.65	0.76	0.37		0.5	0.78	0.42	0.7	0.68			0.59	0.71
CLDN17	0.77	1	0.95	0.94	1		0.99	0.99	0.9	0.85	0.98			0.67	0.56
CLDN3	0.16	0.34	0.54	0.52	0.35		0.04	0.63	0.62	0.36	0.39			1.14	1.26
CLDN4	0.23	0.37	0.35	0.8	0.55		0.36	0.62	0.43	0.56	0.17			0.8	0.86
CLDN6	0.24	0.46	0.04	0.33	0.1		0.15	0.22	0.47	0.59	0.21			1.08	0.98
CLDN7	0.15	0.23	0.12	0.44	0.31		0.52	0.12	0.63	0.49	0.11			0.99	1.06
CLDN8	0.46	0.81	0.35	0.75	0.37		0.86	0.67	0.72	0.85	0.69			1	0.94
CLECSF1	0.7	0.76	0.36	0.57	0.78		0.86	0.79	0.8	0.73	0.45			0.73	0.79
CLECSF12	0.99	0.99	0.98	0.97	0.9		0.92	0.98	0.01	0.65	0.98			1.68	1.84
CLECSF14	0.92	0.74	0.14	0	0.28		0.45	0.21	0	0	0.07			1.73	1.51
CLECSF2	0.99	0.89	0.58	0.24	0.38		0.52	0.5	0.02	0.13	0.83			2.76	2.05
CLECSF5	0.69	0.79	0.82	0.56	0.42		0.52	0.39	0.33	0.44	0.44			3.1	3.87
CLECSF6	0.86	0.84	0.86	0.85	0.53		0.85	0.87	0.74	0.81	0.62			0.88	0.94
CLECSF9	0.57	0.86	0.72	0.83	0.94		0.32	0.97	0.67	0.59	0.93			0.76	2.01
CLGN	0.73	0.75	0.55	0.52	0.93		0.81	0.18	0.3	0.31	0.69			1.01	1
CLIC1	0.79	0.21	0.38	0.07	0.16		0.19	0.12	0.03	0.04	0.07			4.42	4.55
CLIC2	0.55	0.57	0.86	0.65	1		0.36	0.49	0.57	0.65	0.91			0.82	0.84
CLIC5	0.7	0.56	0.64	0.78	0.5		0.82	0.17	0.66	0.79	0.8			1.52	1.22
CLIPR-59	0.08	0.18	0.23	0.26	0.52		0.08	0.33	0.3	0.56	0.15			0.96	0.96
CLK1	0.3	0.47	0.23	0.28	0.54		0.23	0.2	0.4	0.26	0.28			4.45	5.04
CLK2	0.7	0.64	0.46	0.27	0.59		0.8	0.35	0.65	0.58	0.73			2.64	3.3
CLK3	0.38	0.35	0.3	0.58	0.69		0.63	0.44	0.59	0.65	0.56			1.12	1.14
CLL-1	1	0.97	0.97	0.96	0.99		1	0.95	0.93	0.85	0.99			0.93	1.24
CLN2	0.11	0.04	0.2	0.51	0.16		0.22	0.28	0.26	0.56	0.05			1.65	1.83
CLN3	0.39	0.51	0.6	0.38	0.76		0.49	0.76	0.62	0.2	0.88			2.08	1.5
CLN5	0.19	0.14	0.37	0.58	0.51		0.49	0.15	0.32	0.51	0.09			0.92	0.99
CLN6	0.49	0.24	0.96	0.03	0.3		0.29	0.07	0.86	0.1	0.79			0.73	1.69
CLNS1A	0.6	0.32	0.35	0.48	0.22		0.22	0.49	0.1	0.22	0.37			2.78	2.49
CLPP	0.12	0.15	0.41	0.46	0.16		0.3	0.21	0.24	0.56	0.15			1.03	1.01
CLPS	0.21	0.4	0.48	0.45	0.16		0.24	0.66	0.39	0.7	0.19			0.73	0.74
CLPTM1	0.71	0.31	0.16	0.16	1		0.44	0.64	0.11	0.28	0.13			3.52	3.59
CLPX	0.74		 	0.73	0.91		0.83	0.94	0.93	0.83	 				
CLSPN	0.44	 	0.62	0.69	 		0.56	0.34	0.23	0.27	0.73			2.18	2.13
CLST11240	0.54	0.9	0.61	0.41	0.28		0.81	0.84	0.68	0.72	0.72			1.73	1.79
CLSTN2	0.54	 	0.42	0.63	 		0.89	0.02	0.9	0.86	0.75			1.02	0.98
CLSTN3	0.15	 	0.58	0.38	 		0.63	0.2	0.6	0.58	0.42			0.93	0.91
CLTA	0.76	0.76	 	0.91	0.9		0.95	0.75	1	0.42	0.82			2.53	3.45
CLTCL1	0.64	0.61	 	0.81	0.38		0.48	0.85		0.87	 				
CMA1	0.7	0.59	0.9	0.79	0.54		0.79	0.36	0.76	0.69	0.33			0.68	0.76
CMAR	0.13	0.74	0.67	0.87	0.52		0.72	0.87	0.65	0.78	0.35			1.49	1.27
CMAS	0.04	0.24	0.36	0.14	0.26		0.22	0.18	0.18	0.22	0.19			1.45	1.29
CMKLR1	0.15	0.19	0.34	0.4	0.4		0.09	0.51	0.4	0.33	0.37			1.01	0.97
CML2	0.08	0.12	0.48	0.59	0.22		0.36	0.75	0.59	0.58	0.25			0.79	0.8
CMRF35	0.61	0.27	0.25	0.56	0.65		0.43	0.62	0.64	0.6	0.81			4.21	3.67
CNAP1	0.32	0.33	0.41	0.23	0.55		0.1	0.26	0.24	0.09	0.29			5.24	4.93
CNDP2	0.24	0.24	0.6	0.23	0.33		0.51	0.03	0.67	0.1	0.6			2.96	2.53
CNFN	0.45	0.61	 	0.18	0.23		0.27	0.89	0.96	0.57	 				
CNGA3	0.71	0.93	0.82	0.9	0.75		0.74	0.6	0.88	0.81	0.75			0.59	0.57
CNGB1	0.26	0.82	0.23	0.57	0.5		0.64	0.76	0.69	0.76	0.13			0.71	0.76
CNIH	0.18	 	0.71	0.46	 		0.54	0.39	0.28	0.4	0.16			1.22	1.13
CNKSR1	0.35	0.53	0.56	0.85	0.73		0.84	0.64	0.66	0.8	0.43			0.92	0.91
CNN1	0.21	0.6	0.16	0.62	0.21		0.52	0.45	0.66	0.63	0.28			0.93	0.9
CNN3	0.67	0.22	0.76	0.14	0.37		0.58	0.37	0.57	0.37	0.62			0.96	1.4
CNNM1	0.03	0.71	0.37	0.78	0.64		0.73	0.03	0.63	0.26	0.58			1.55	1.47
CNNM2	0.65	0.8	0.44	0.57	0.34		0.16	0.61	0.26	0.43	0.32			1	0.99
CNNM4	0.02	0.04	0.6	0.6	0.19		0.29	0.52	0.77	0.58	0.33			0.72	0.77
CNOT4	0.98	0.57	0.24	0.1	0.78		0.81	0.02	0.21	0.04	0.66			2.35	2.37
CNOT7	0.28	0.77	 	0.85	0.94		0.78	0.93		0.82	0.95				
CNOT8	0.6	0.49	 	0.66	0.95		0.48	0.52	0.87	0.2	0.59			1.91	2.4
CNR2	0.47	0.53	0.21	0.32	0.74		0.24	0.11	0.48	0.43	0.44			1.4	1.05
CNTF	0.78	0.92	0.84	0.74	0.5		0.66	0.72	0.64	0.69	0.9			1.05	1.49
CNTFR	0.61	0.78	0.29	0.87	0.55		0.7	0.56	0.83	0.83	0.94			0.94	1
CNTN1	0.48	0.8	0.54	0.7	0.54		0.84	0.47	0.53	0.72	0.75			0.86	0.77
CNTN2	0.24	0.06	0.51	0.18	0.54		0.37	0.29	0.56	0.74	0.87				0.78
CNTNAP5	0.43	0.5	0.18	0.52	0.24		0.14	0.13	0.23	0.13	0.18			1.75	1.52
COASY	0.71	0.68	0.13	0.12	0.14		0.66	0.95	0.26	0.11	0.13			4.49	4.8
COBLL1	0	0.01	 	0.59	0.77		0.6	0.51	0.94	0.76	0.87			0.71	0.63
COCH	0.72		 	0.43	0.58		0.79	0.64		0.71	 				5.16
COG2	0.83	 	0.22	0.06	 		0.19	0.05	0.11	0.14	0.08			2.68	2.05
COG3	0.15	 	0.85	0.21	 		0.05	0.4	0.83	0.2	0.57			1.27	1.28
COG5	0.72	 	0.55	0.29	 		0.08	0.46	0.22	0.15	0.56			3.7	3.26
COH1	0.41	0.23	0.42	0.25	0.84		0.2	0.68	0.28	0.27	0.15			2.59	2.65
COIL	0.93	0.98	0.86	0.96	0.93		0.97	0.97	0.77	0.61	0.98			1.81	1.54
COL10A1	0.82	0.93	0.82	0.92	0.82		0.97	0.74	0.92	0.72	0.94			0.77	0.79
COL11A1	0.27	0.08	0.52	0.61	0.39		0.32	0.78	0.34	0.64	0.26			0.97	1
COL11A2	0.22	0.52	0.58	0.5	0.8		0.26	0.62	0.83	0.77	0.95			0.93	0.72
COL12A1	0.04	0.08	0.6	0.39	0.42		0.33	0.17	0.62	0.5	0.68			1.25	1.05
COL13A1	0.25	0.16	0.17	0.48	0.27		0.19	0.1	0.17	0.33	0.14			1.06	1.07
COL15A1	0.31	0.4	0.21	0.24	0.26		0.7	0.18	0.41	0.57	0.19			0.84	0.81
COL16A1	0.8	0.96	 	0.97	0.53		0.96	0.82	0.85	0.83	 				
COL17A1	0.8	0.82	0.84	0.89	0.58		0.55	0.87	0.75	0.89	0.8			0.6	0.57
COL18A1	0.36	0.65	 	0.57	1		0.64	0.5	0.6	0.86	0.78				0.49
COL19A1	0.25	0.22	0.87	0.68	0.93		0.82	0.85	0.83	0.86	0.84			0.54	0.56
COL1A1	0.65	0.44	0.25	0.55	1		0.61	0.58	0.64	0.64	0.38			1.01	0.94
COL1A2	0.3	0.64	0.6	0.04	0.87		0.18	0.09	0.71	0.08	0.29			1.29	1.58
COL21A1	0.24	0.76	0.75	0.73	0.54		0.75	0.82	0.67	0.71	0.73			0.73	0.76
COL25A1	0.05	0.14	0.7	0.33	0.23		0.45	0.29	0.63	0.21	0.44			1.03	1.16
COL27A1	0.79		 	0.99	0.61		0.96	0.71		0.81	 				
COL2A1	0.02	0.25	0.28	0.23	0.24		0.43	0.58	0.43	0.45	0.25			0.98	0.96
COL3A1	0.64	0.46	0.75	0.47	0.27		0.87	0.4	0.82	0.8	0.79			0.7	0.64
COL4A1	0.07	0.54	1	0.22	0.94		0.35	0.32	0.9	0.49	0.93			1.55	0.64
COL4A2	0.48	0.17	0.87	0.19	1		0.34	0.39	0.83	0.52	0.67			0.9	0.86
COL4A3	0.19	0.34	0.49	0.46	0.2		0.19	0.2	0.4	0.31	0.24			0.91	0.81
COL4A4	0.07	0.2	0.55	0.48	0.51		0.48	0.69	0.73	0.42	0.54			1.08	1.11
COL4A5	0.14	0.55	0.07	0.26	0.23		0.39	0.12	0.12	0.15	0.1			0.67	0.69
